Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
32701-82880,D,Daniel,Daniel Hemric,Hemric,22.89999962,1,0,,,,,,T3
32701-82883,D,Erik,Erik Jones,Jones,27.95000076,2,0,,,,,,T3
32701-82882,D,Jimmie,Jimmie Johnson,Johnson,45.70000076,2,0,,,,,,T3
32701-84226,D,Parker,Parker Kligerman,Kligerman,38.5,1,0,,,,,,T4
32701-82887,D,Corey,Corey LaJoie,LaJoie,32.40000153,1,0,,,,,,T4
32701-82886,D,Brad,Brad Keselowski,Keselowski,20.14999962,2,0,,,,,,T1
32701-82889,D,Joey,Joey Logano,Logano,48,2,0,,,,,,T1
32701-82888,D,Kyle,Kyle Larson,Larson,31,2,0,,,,,,T3
32701-82891,D,Michael,Michael McDowell,McDowell,25.79999924,1,0,,,,,,T3
32701-82893,D,Jamie,Jamie McMurray,McMurray,39.65000153,2,0,,,,,,T3
32701-82892,D,B.J.,B.J. McLeod,McLeod,25.20000076,1,0,,,,,,T4
32701-82895,D,Ryan,Ryan Newman,Newman,37.70000076,2,0,,,,,,T3
32701-82894,D,Paul,Paul Menard,Menard,39.09999847,2,0,,,,,,T3
32701-82897,D,David,David Ragan,Ragan,36,1,0,,,,,,T3
32701-82901,D,Daniel,Daniel Suarez,Suarez,36.40000153,2,0,,,,,,T3
32701-82900,D,Ricky,Ricky Stenhouse Jr.,Stenhouse Jr.,50,1,0,,,,,,T2
32701-82903,D,Martin,Martin Truex Jr.,Truex Jr.,35.75,2,0,,,,,,T2
32701-102231,D,Ryan,Ryan Truex,Truex,33,1,0,,,,,,T4
32701-82905,D,Cody,Cody Ware,Ware,25.79999924,1,0,,,,,,T4
32701-82904,D,Bubba,Bubba Wallace,Wallace,46.5,1,0,,,,,,T3
32701-102623,D,Tyler,Tyler Reddick,Reddick,32,1,0,,,,,,T4
32701-102625,D,Casey,Casey Mears,Mears,27.89999962,1,0,,,,,,T4
32701-82855,D,Aric,Aric Almirola,Almirola,45.45000076,2,0,,,,,,T3
32701-82859,D,Alex,Alex Bowman,Bowman,35.5,2,0,,,,,,T3
32701-82858,D,Ryan,Ryan Blaney,Blaney,43.45000076,2,0,,,,,,T2
32701-82861,D,Chris,Chris Buescher,Buescher,42.5,1,0,,,,,,T3
32701-82860,D,Clint,Clint Bowyer,Bowyer,40.54999924,2,0,,,,,,T3
32701-82863,D,Kyle,Kyle Busch,Busch,25,2,0,,,,,,T2
32701-101999,D,Ryan,Ryan Preece,Preece,39.5,1,0,,,,,,T4
32701-82862,D,Kurt,Kurt Busch,Busch,49.45000076,2,0,,,,,,T2
32701-82865,D,Landon,Landon Cassill,Cassill,34.59999847,1,0,,,,,,T4
32701-82864,D,William,William Byron,Byron,25.10000038,1,0,,,,,,T3
32701-102000,D,Matt,Matt Tifft,Tifft,27.39999962,1,0,,,,,,T4
32701-82866,D,Ross,Ross Chastain,Chastain,27.20000076,1,0,,,,,,T4
32701-82869,D,Austin,Austin Dillon,Dillon,39.34999847,2,0,,,,,,T3
32701-82868,D,Matt,Matt DiBenedetto,DiBenedetto,49,1,0,,,,,,T4
32701-82870,D,Ty,Ty Dillon,Dillon,40.5,1,0,,,,,,T4
32701-82873,D,Joey,Joey Gase,Gase,27.20000076,1,0,,,,,,T4
32701-82872,D,Chase,Chase Elliott,Elliott,40.20000076,2,0,,,,,,T1
32701-82874,D,Brendan,Brendan Gaughan,Gaughan,32.59999847,1,0,,,,,,T4
32701-82879,D,Kevin,Kevin Harvick,Harvick,44.29999924,2,0,,,,,,T1
32701-82878,D,Denny,Denny Hamlin,Hamlin,36.75,2,0,,,,,,T1
